# RETAILMIND AI - SYNTHETIC DATASET
date,sku,product_name,category,units_sold,selling_price,promotion,holiday,festival,stock_available
2025-01-01,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,39,245.00,0,0,,132
2025-01-02,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,34,245.00,0,0,,98
2025-01-03,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,50,245.00,0,0,,48
2025-01-04,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,57,245.00,0,0,,151
2025-01-05,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,48,245.00,0,0,,103
2025-01-06,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,35,245.00,0,0,,68
2025-01-07,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,48,245.00,0,0,,20
2025-01-08,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,38,245.00,0,0,,142
2025-01-09,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,38,245.00,0,0,,104
2025-01-10,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,47,245.00,0,0,,57
2025-01-11,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,54,245.00,0,0,,3
2025-01-12,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,45,245.00,0,0,,118
2025-01-13,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,34,245.00,0,0,,84
2025-01-14,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,43,245.00,0,0,,41
2025-01-15,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,41,245.00,0,0,,160
2025-01-16,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,28,245.00,0,0,,132
2025-01-17,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,49,245.00,0,0,,83
2025-01-18,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,53,245.00,0,0,,30
2025-01-19,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,47,245.00,0,0,,143
2025-01-20,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,43,245.00,0,0,,100
